InsertionSort
Input amount,unsorted
1000,0.02
2000,0.013
4000,0.029
6000,0.073
8000,0.116
10000,0.202
20000,0.888
40000,4.798
60000,13.757
80000,28.46

Input amount,sorted
1000,0.0
2000,0.0
4000,0.001
6000,0.0
8000,0.0
10000,0.0
20000,0.001
40000,0.001
60000,0.001
80000,0.002

Input amount,reverse
1000,0.003
2000,0.011
4000,0.042
6000,0.096
8000,0.174
10000,0.273
20000,1.097
40000,4.571
60000,11.224
80000,21.226
